sector,code,type
Aggregate mining,agg,Ocean sector
Desalination,des,Ocean sector
Telecommunication,tel,Ocean sector
Military activities,mil,Ocean sector
Bioprospecting,bio,Ocean sector
Renewable energy,ren,Ocean sector
Wave power,wave,Ocean sector
Wind power,wind,Ocean sector
Drilling for oil/gas,dril,Ocean sector
Metal/minerals mining,mini,Ocean sector
Shipping,ship,Ocean sector
Tourism,tou,Ocean sector
Aquaculture,aqua,Ocean sector
Fishing,fish,Ocean sector
Ecosystem health,eco,Outcome receptor
Marine Protected Areas,mpa,Governance
Dredging,dred,Activity
Underwater cables,cable,Activity
Underwater pipelines,pipe,Activity
Land reclamation,recl,Activity
Waste disposal,waste,Activity
